文件路徑: data/RS307/2_0036.jpg, label: [0, 2, 35]
文件路徑: data/RS307/0.5_0126.jpg, label: [0, 0, 125]
文件路徑: data/RS307/0.5_0108.jpg, label: [0, 0, 107]
文件路徑: data/RS307/0.5_0254.jpg, label: [0, 0, 253]
文件路徑: data/RS307/0.5_0241.jpg, label: [0, 0, 240]
文件路徑: data/RS307/2_0070.jpg, label: [0, 2, 69]
文件路徑: data/RS307/2_0074.jpg, label: [0, 2, 73]
文件路徑: data/RS307/1_0174.jpg, label: [0, 1, 173]
文件路徑: data/RS307/0.5_0279.jpg, label: [0, 0, 278]
文件路徑: data/RS307/1_0233.jpg, label: [0, 1, 232]
文件路徑: data/RS307/1_0106.jpg, label: [0, 1, 105]
文件路徑: data/RS307/2_0318.jpg, label: [0, 2, 317]
文件路徑: data/RS307/1_0135.jpg, label: [0, 1, 134]
文件路徑: data/RS307/1_0028.jpg, label: [0, 1, 27]
文件路徑: data/RS307/0.5_0068.jpg, label: [0, 0, 67]
文件路徑: data/RS307/1_0240.jpg, label: [0, 1, 239]
文件路徑: data/RS307/1_0212.jpg, label: [0, 1, 211]
文件路徑: data/RS307/2_0092.jpg, label: [0, 2, 91]
文件路徑: data/RS307/0.5_0142.jpg, label: [0, 0, 141]
文件路徑: data/RS307/2_0286.jpg, label: [0, 2, 285]
文件路徑: data/RS307/1_0003.jpg, label: [0, 1, 2]
文件路徑: data/RS307/1_0070.jpg, label: [0, 1, 69]
文件路徑: data/RS307/1_0122.jpg, label: [0, 1, 121]
文件路徑: data/RS307/1_0014.jpg, label: [0, 1, 13]
文件路徑: data/RS307/0.5_0029.jpg, label: [0, 0, 28]
文件路徑: data/RS307/2_0121.jpg, label: [0, 2, 120]
文件路徑: data/RS307/2_0229.jpg, label: [0, 2, 228]
文件路徑: data/RS307/2_0059.jpg, label: [0, 2, 58]
文件路徑: data/RS307/1_0308.jpg, label: [0, 1, 307]
文件路徑: data/RS307/0.5_0231.jpg, label: [0, 0, 230]
文件路徑: data/RS307/2_0306.jpg, label: [0, 2, 305]
文件路徑: data/RS307/0.5_0265.jpg, label: [0, 0, 264]
文件路徑: data/RS307/1_0031.jpg, label: [0, 1, 30]
文件路徑: data/RS307/1_0226.jpg, label: [0, 1, 225]
文件路徑: data/RS307/1_0300.jpg, label: [0, 1, 299]
文件路徑: data/RS307/2_0312.jpg, label: [0, 2, 311]
文件路徑: data/RS307/0.5_0160.jpg, label: [0, 0, 159]
文件路徑: data/RS307/1_0279.jpg, label: [0, 1, 278]
文件路徑: data/RS307/2_0002.jpg, label: [0, 2, 1]
文件路徑: data/RS307/0.5_0197.jpg, label: [0, 0, 196]
文件路徑: data/RS307/0.5_0245.jpg, label: [0, 0, 244]
文件路徑: data/RS307/0.5_0127.jpg, label: [0, 0, 126]
文件路徑: data/RS307/2_0280.jpg, label: [0, 2, 279]
文件路徑: data/RS307/0.5_0159.jpg, label: [0, 0, 158]
文件路徑: data/RS307/2_0356.jpg, label: [0, 2, 355]
文件路徑: data/RS307/1_0284.jpg, label: [0, 1, 283]
文件路徑: data/RS307/0.5_0300.jpg, label: [0, 0, 299]
文件路徑: data/RS307/2_0065.jpg, label: [0, 2, 64]
文件路徑: data/RS307/1_0346.jpg, label: [0, 1, 345]
文件路徑: data/RS307/0.5_0312.jpg, label: [0, 0, 311]
文件路徑: data/RS307/1_0084.jpg, label: [0, 1, 83]
文件路徑: data/RS307/2_0329.jpg, label: [0, 2, 328]
文件路徑: data/RS307/1_0007.jpg, label: [0, 1, 6]
文件路徑: data/RS307/2_0262.jpg, label: [0, 2, 261]
文件路徑: data/RS307/1_0283.jpg, label: [0, 1, 282]
文件路徑: data/RS307/0.5_0011.jpg, label: [0, 0, 10]
文件路徑: data/RS307/2_0060.jpg, label: [0, 2, 59]
文件路徑: data/RS307/0.5_0281.jpg, label: [0, 0, 280]
文件路徑: data/RS307/0.5_0058.jpg, label: [0, 0, 57]
文件路徑: data/RS307/1_0055.jpg, label: [0, 1, 54]
文件路徑: data/RS307/0.5_0175.jpg, label: [0, 0, 174]
文件路徑: data/RS307/2_0332.jpg, label: [0, 2, 331]
